mm_time_perd_end_date,retailer_name,store_num,prod_id,sales_usd_p1m_amt,sales_stat_unit_p1m_qty,sales_unit_p1m_qty,sales_usd_price_cut_p1m_amt,sales_stat_unit_price_cut_p1m_qty,sales_unit_price_cut_p1m_qty,sales_usd_p1mya_amt,sales_stat_unit_p1mya_qty,sales_unit_p1mya_qty,sales_usd_price_cut_p1mya_amt,sales_stat_unit_price_cut_p1mya_qty,sales_unit_price_cut_p1mya_qty,sales_usd_p3m_amt,sales_stat_unit_p3m_qty,sales_unit_p3m_qty,sales_usd_price_cut_p3m_amt,sales_stat_unit_price_cut_p3m_qty,sales_unit_price_cut_p3m_qty,sales_usd_p3mya_amt,sales_stat_unit_p3mya_qty,sales_unit_p3mya_qty,sales_usd_price_cut_p3mya_amt,sales_stat_unit_price_cut_p3mya_qty,sales_unit_price_cut_p3mya_qty,sales_usd_p6m_amt,sales_stat_unit_p6m_qty,sales_unit_p6m_qty,sales_usd_price_cut_p6m_amt,sales_stat_unit_price_cut_p6m_qty,sales_unit_price_cut_p6m_qty,sales_usd_p6mya_amt,sales_stat_unit_p6mya_qty,sales_unit_p6mya_qty,sales_usd_price_cut_p6mya_amt,sales_stat_unit_price_cut_p6mya_qty,sales_unit_price_cut_p6mya_qty,sales_usd_p12m_amt,sales_stat_unit_p12m_qty,sales_unit_p12m_qty,sales_usd_price_cut_p12m_amt,sales_stat_unit_price_cut_p12m_qty,sales_unit_price_cut_p12m_qty,sales_usd_p12mya_amt,sales_stat_unit_p12mya_qty,sales_unit_p12mya_qty,sales_usd_price_cut_p12mya_amt,sales_stat_unit_price_cut_p12mya_qty,sales_unit_price_cut_p12mya_qty
2019-11-30,Walgreens,12540,000953111196,4.980832769126608,0.05762897765741367,0.4942450914014895,0.45700880162491536,0.006634394041976981,0.05690047393364929,5.129687924016282,0.0549776119402985,0.47150610583446406,0.3871037991858887,0.004994572591587516,0.04283785617367707,15.864746106973595,0.17359715639810425,1.4888287068381854,0.8929099526066351,0.011686526743398783,0.10023155044008125,16.563073270013568,0.18265264586160107,1.5664857530529173,1.6956268656716418,0.02311058344640434,0.19821031207598372,32.50241592861087,0.3502779452049768,3.0040966912715845,1.4105039058701352,0.018303931741077736,0.15698505907198543,33.80147218453189,0.38603052917232017,3.310719131614654,12.016016960651289,0.14601492537313435,1.2522767978290368,66.83539219979731,0.7314616740185361,6.273249233644465,1.8860015329887792,0.032310033435992994,0.2771050590719854,71.24896923188093,0.8060996384126966,6.913373646882555,15.180336345385228,0.20657554956197274,1.7716708564391483
2019-11-30,Target Store,01279,001111105124,184.29000000000002,3.549,35,0,0,0,116.22,2.028,20,0,0,0,485.35,9.328,92,0,0,0,470.37,8.315000000000001,82,0,0,0,1067.64,20.583,203,0,0,0,1185.82,20.990000000000002,207,76.16000000000001,1.42,14,1883.69,36.503,360,430.68,8.517999999999999,84,2136.67,38.32899999999999,378,182.46000000000004,3.651,36
2019-11-30,Walmart,004637,001111165761,41.695058139534886,0.7793662790697675,7.686046511627907,0.9064941860465117,0.018098837209302325,0.17850581395348836,49.73023255813953,0.8489302325581396,8.372093023255815,0,0,0,136.6925,2.555046511627907,25.197674418604652,0.9064941860465117,0.018098837209302325,0.17850581395348836,172.13127906976746,2.9388313953488376,28.982558139534884,0,0,0,286.3474418604651,5.35121511627907,52.77325581395349,35.46059302325581,0.6743139534883721,6.650046511627906,348.0738372093023,5.947226744186047,58.651162790697676,0,0,0,555.9792441860466,10.04331976744186,99.04651162790697,73.07784302325581,1.4011337209302326,13.817872093023256,643.7872674418604,11.249505813953489,110.94186046511629,0,0,0
2019-11-30,Dollar General,06101,001117100265,null,null,null,null,null,null,null,null,null,null,null,null,3.5,0.02,1,0,0,0,17.35,0.1,5,0,0,0,16.16,0.1,5,5.66,0.04,2,20.85,0.12000000000000001,6,0,0,0,47.66,0.27999999999999997,14,5.66,0.04,2,20.85,0.12000000000000001,6,0,0,0
2019-11-30,Dollar General,06562,001204403963,5,0.108,1,0,0,0,4,0.108,1,0,0,0,55,1.191,11,0,0,0,16,0.433,4,0,0,0,70,1.516,14,0,0,0,36,0.975,9,0,0,0,118,2.6,24,0,0,0,44,1.191,11,0,0,0
2019-11-30,Kroger,HT00230,001204404089,20.699097744360905,0.4087714301912408,3.774436090225564,1.9022556390977443,0.20601428653064527,1.9022556390977443,21.166507936507934,0.521730954448382,4.817460317460317,4.317857142857142,0.3597107157111168,3.3214285714285716,67.87694715097457,1.371598240090223,12.664803644091217,6.300391945123784,0.7676918552962928,7.088567426169988,64.58429191868944,1.5699650176415845,14.496445165469854,12.106601378512941,1.0089994044840929,9.31670729903782,134.88297521750263,2.759953103031625,25.48433141361899,13.498232752964594,1.722187331309083,15.902006689609252,126.11135382977527,3.1110775166340523,28.726477417414458,25.847981888220147,2.134170865971764,19.70610210078322,284.32849081144207,6.122824334577091,56.53577387178734,41.70837413750028,3.837154418013336,35.430788576252,310.4794721593809,7.7621495757207715,71.672664311747,68.60671144920501,5.662328332381064,52.28373324047386
2019-11-30,Dollar General,01472,001284409914,null,null,null,null,null,null,2.25,0.28400000000000003,1,0,0,0,2.25,0.28400000000000003,1,0,0,0,31.25,3.981,14,0,0,0,26.58,3.4130000000000003,12,4.08,0.569,2,45.25,5.9719999999999995,21,0,0,0,53.58,6.824999999999999,24,4.08,0.569,2,71.25,9.669999999999998,34,0,0,0
2019-11-30,Acme Market,01893,210003137152,null,null,null,null,null,null,30,2.432,12,30,2.432,12,14.97,0.608,3,0,0,0,68.58,5.27,26,58.8,4.864,24,132.59,7.297000000000001,36,50.7,3.4459999999999997,17,187.29000000000002,12.77,63,111.86999999999999,9.120999999999999,45,289.79,18.648,92,130.81,9.527,47,326.72,20.27,100,201.62,14.19,70
2019-11-30,Acme Market,02847,068142103105,null,null,null,null,null,null,25.99,0.451,1,0,0,0,52.98,0.903,2,0,0,0,129.95,2.256,5,0,0,0,234.90999999999997,4.063000000000001,9,0,0,0,233.91,4.061,9,0,0,0,363.35999999999996,6.32,14,24.490000000000002,0.451,1,285.89,4.964,11,0,0,0
2019-11-30,Albertsons,00006,076870254305,41.97,0.41300000000000003,3,0,0,0,27.98,0.275,2,27.98,0.275,2,83.94,0.8260000000000001,6,0,0,0,44.97,0.41300000000000003,3,27.98,0.275,2,153.89,1.5150000000000001,11,0,0,0,44.97,0.41300000000000003,3,27.98,0.275,2,245.82,2.478,18,0,0,0,90.94,0.8270000000000001,6,42.97,0.41300000000000003,3
2019-11-30,Albertsons,00132,001111161133,10.98,0.064,2,0,0,0,10.98,0.064,2,0,0,0,47.91,0.28800000000000003,9,3.9899999999999998,0.032,1,52.92,0.448,14,41.94,0.384,12,109.84000000000002,0.6719999999999999,21,32.98,0.224,7,142.97,0.9920000000000001,31,51.14,0.448,14,236.08999999999997,1.4720000000000002,46,54.92,0.41600000000000004,13,270.67999999999995,1.9200000000000002,60,75.08,0.64,20
2019-11-30,Albertsons,00170,038137001642,null,null,null,null,null,null,2,0.028,2,0.01,0.014,1,null,null,null,null,null,null,2,0.028,2,0.01,0.014,1,null,null,null,null,null,null,16.72,0.13999999999999999,10,12.739999999999998,0.11199999999999999,8,13.590000000000002,0.154,11,9.610000000000001,0.126,9,39.7,0.30800000000000005,22,19.799999999999997,0.168,12
2019-11-30,Albertsons,00757,060308454526,4.590000000000001,0.14400000000000002,1,0,0,0,null,null,null,null,null,null,4.590000000000001,0.14400000000000002,1,0,0,0,12.98,0.575,4,5,0.287,2,23.55,1.0070000000000001,7,13.469999999999999,0.719,5,21.47,0.863,6,8.5,0.431,3,68.47,2.588,18,39.43,1.7249999999999999,12,43.45,1.7249999999999999,12,22.5,1.005,7
2019-11-30,Albertsons,01227,003700073823,2.99,0.063,1,0,0,0,14.9,0.313,5,14.9,0.313,5,16.44,0.376,6,13.45,0.313,5,20.86,0.439,7,20.86,0.439,7,39.17,0.815,13,32.19,0.6890000000000001,11,36.82,0.6890000000000001,11,20.86,0.439,7,95.48999999999998,1.7549999999999997,28,35.68,0.752,12,80.71000000000001,1.378,22,20.86,0.439,7
2019-11-30,Albertsons,03419,210002785374,9.979999999999999,0.222,2,0,0,0,4.989999999999999,0.111,1,0,0,0,19.959999999999997,0.444,4,0,0,0,44.91,1,9,0,0,0,69.36,1.554,14,9.48,0.222,2,114.77,2.556,23,0,0,0,153.68999999999997,3.4410000000000003,31,18.96,0.444,4,211.02999999999997,5.222999999999999,47,42.37,1.4449999999999998,13
2019-11-30,Big Kmart,03412,081033302066,23.88,1.1039999999999999,6,23.88,1.1039999999999999,6,null,null,null,null,null,null,44,1.8399999999999999,10,44,1.8399999999999999,10,9.43,0.368,2,3.14,0.184,1,50.29,2.024,11,44,1.8399999999999999,10,21.409999999999997,0.736,4,3.14,0.184,1,75.44999999999999,2.7600000000000002,15,44,1.8399999999999999,10,45.35999999999999,1.6560000000000001,9,6.130000000000001,0.368,2
2019-11-30,Big Kmart,04206,038137003955,5.45,0.068,1,5.45,0.068,1,13,0.135,2,5.21,0.068,1,36.58,0.5409999999999999,8,28.79,0.474,7,29.21,0.338,5,15.629999999999999,0.203,3,52.16,0.6759999999999999,10,28.79,0.474,7,63.95,0.7430000000000001,11,50.370000000000005,0.6080000000000001,9,98.9,1.0830000000000002,16,28.79,0.474,7,105.89,1.1490000000000002,17,50.370000000000005,0.6080000000000001,9
